20-91,36-157,50-218,75-320
420.8225,106.0375,1634.28,2787.6075
207.28,163.0625,2729.8575,7851.635
137.98,349.2125,126.885,26957.7575
28.49,929.715,173.775,1467.265
97.13,940.785,508.425,2369.0825
32.77,299.855,458.135,1003.925
177.81,133.0725,876.95,1013.11
110.14,404.535,4155.7425,513.17
419.62,422.72,2426.52,4655.485
58.8675,355.6525,1311.6375,2473.4675
241.5075,172.7375,6731.14,7877.9925
54.0825,221.205,2731.8225,806.1775
64.16,857.52,158.4925,1171.7875
53.755,642.2625,179.01,11110.125
222.01,1069.375,579.7825,1051.8425
27.895,329.055,501.495,13147.7075
30.96,616.385,828.255,5243.9075
106.16,457.1475,761.6725,3464.1925
97.0725,96.19,369.405,2721.7
182.2075,585.61,2970.5475,9414.9525
34.7775,443.595,1799.2875,8835.765
148.8375,948.2325,143.87,422.5525
67.61,1387.855,146.305,7946.8075
19.455,317.6275,1339.9325,935.625
324.775,136.41,180.605,19852.36
228.6975,306.6825,2348.515,5303.62
74.565,96.205,263.3075,1049.4675
123.2375,2126.625,839.9775,4775.285
163.51,1757.7075,1777.66,22485.0475
93.8875,417.195,1339.4325,22860.03
79.6,488.3225,2085.4475,2226.1625
30.3975,528.86,8575.27,2475.8375
110.7975,724.61,208.97,384.08
118.525,1531.7575,3278.1525,3332.96
232.65,110.62,573.82,3737.7875
154.1125,140.72,604.14,2109.7375
146.595,218.9175,365.0575,3103.32
185.9325,498.1125,545.635,1022.2475
211.095,423.5225,541.3125,1123.3575
23.48,543.93,460.9575,2461.745
32.4225,2965.535,383.8075,1880.775
322.13,268.43,591.1925,15730.695
173.3625,1301.81,577.755,1229.215
80.375,1185.0475,878.975,5961.545
92.0325,542.4125,758.8825,6885.1725
107.62,366.975,3647.77,491.19
46.795,4925.045,413.035,1547.54
281.5075,399.6875,3009.5325,785.905
169.745,252.9125,587.2575,6013.5675
124.3525,569.4275,4201.83,4967.685
70.39,167.315,2020.77,9413.5
323.2225,68.96,975.595,1424.0675
36.34,80.1825,1448.335,7593.3575
19.89,80.7375,2094.8325,2906.3275
259.51,314.9,1143.8975,119689.58
35.365,103.26,114.055,1207.7125
49.9075,494.865,3642.03,5077.2275
591.65,169.2075,666.8725,21292.5975
42.1525,980.49,153.4175,27768.9275
63.145,521.38,150.4475,1825.36
93.8025,517.07,767.005,3525.33
88.6675,610.825,770.36,1346.3475
227.285,137.6725,5859.5,2000.715
77.8225,1295.535,380.915,4316.6025
225.7975,468.7125,15540.985,758.46
148.7675,780.51,1362.135,1437.545
202.59,716.4,312.305,8103.32
43.4575,256.09,669.6825,94252.915
204.24,831.19,422.05,1397.7675
47.535,49.6475,1136.145,5960.9
126.6475,238.73,454.3725,6810.7725
379.125,35.2075,4377.2775,3770.9275
121.9075,177.415,2929.95,1546.04
35.8375,311.21,1111.925,385.7125
