20-91,36-157,50-218,75-320
68.9525,296.51,343.315,1559.5625
61.2725,312.92,239.42,707.94
149.005,85.7275,1937.545,627.7675
46.0775,567.135,263.17,1396.735
196.29,171.375,3747.04,346.04
76.6175,326.865,530.1875,778.65
95.305,362.425,160.0775,1058.3675
36.2475,183.68,346.0325,7576.84
118.605,289.6075,231.055,598.18
48.5675,43.125,662.4325,1916.18
60.4925,137.3725,210.2775,1626.81
202.17,35.9175,1830.5375,891.5575
79.4375,98.1,895.8025,641.265
32.0775,203.6375,517.175,218.3175
96.8025,127.205,434.2575,1976.4975
66.1675,110.705,227.2625,690.97
59.0675,1141.7625,184.215,468.575
49.565,96.3175,524.4325,645.46
223.5125,90.26,324.0575,1029.235
65.535,311.455,442.3325,517.88
42.625,98.2575,445.7525,467.49
23.0025,99.08,161.255,990.5175
41.2225,100.285,2561.1525,1546.78
31.915,71.54,438.4375,3726.7125
79.43,262.6675,232.88,874.75
33.3275,248.85,159.0975,3000.0475
58.2625,122.31,305.72,4535.0575
111.22,97.555,307.4375,953.225
40.5225,67.84,168.5425,294.7525
76.875,749.08,938.9475,297.1075
47.58,136.4025,723.35,1316.5125
142.8275,658.1175,527.23,1466.9875
71.93,333.105,264.79,1145.4575
21.2625,212.3025,1288.955,1105.7975
129.02,27.2875,235.795,610.165
141.5125,187.09,686.315,1060.22
165.49,959.6675,213.075,553.3175
84.17,440.215,238.69,1092.085
41.915,468.4575,521.1975,400.5225
130.3475,241.47,1668.115,804.8025
85.7975,385.3225,1496.4475,1490.4775
71.28,286.38,427.4525,476.465
27.0075,196.125,652.7675,5582.685
43.695,79.5275,204.965,4512.075
158.28,84.015,331.7375,455.39
30.305,239.545,163.2025,948.7675
35.0525,164.04,1012.645,1937.0425
60.2575,617.1375,315.91,922.215
33.4075,645.955,507.575,6410.0275
87.8325,233.2875,1142.0425,853.8175
66.04,2649.1,99.07,1853.54
113.965,143.5225,750.4325,855.5275
63.915,201.8225,620.325,2188.865
172.825,225.405,659.72,322.36
42.03,112.04,1178.1925,1908.135
61.69,49.89,341.3025,7893.0925
93.63,452.6975,166.74,945.4775
87.755,173.465,314.1875,530.27
72.88,28.7975,486.2,4578.2075
50.4125,265.0975,5362.3725,1739.1075
73.995,327.765,842.545,1766.3925
56.8425,307.725,651.2375,288.6525
126.1675,172.9575,456.3875,2331.8125
49.9425,289.59,399.37,259.4875
31.75,333.4875,1010.65,1506.18
150.7275,885.0375,472.5225,355.5725
168.715,211.725,506.7575,2239.3875
256.065,138.27,607.5775,988.2875
34.675,416.365,1268.4025,450.6375
61.125,366.3325,400.785,492.7875
114.095,67.505,544.885,1473.97
113.0425,205.1625,503.88,539.6275
141.04,347.28,392.275,9371.4725
51.89,688.325,510.4425,4397.01
156.845,167.3375,564.625,3756.7175
141.63,399.3275,377.88,966.3725
39.5525,198.04,295.105,731.515
45.86,647.0075,345.7775,166.3025
53.34,173.1625,279.81,752.1875
49.5625,167.5325,1137.0775,476.335
21.705,43.9275,313.445,855.67
39.5175,116.62,401.04,744.6725
135.655,179.2375,300.3975,1136.625
86.0475,399.0975,705.5375,290.9625
84.425,193.08,836.7875,1287.9125
677.335,92.4175,94.855,509.1925
139.5775,88.98,1111.085,2745.36
92.4425,149.22,1470.85,268.1
82.77,151.145,240.765,1584.755
89.2225,131.685,668.85,2259.675
173.41,128.6925,130.2425,1271.635
68.395,467.8975,438.45,4148.3725
37.815,2020.255,216.1625,908.8775
162.27,895.43,1228.7175,406.7675
157.6225,238.825,488.6775,1554.24
54.0125,207.8825,628.745,603.93
29.805,1840.325,399.28,20533.29
52.845,168.5075,1075.7875,772.365
24.9475,87.73,306.8075,992.43
424.51,90.6125,153.975,821.88
170.2175,232.74,704.69,3523.965
87.0775,198.495,963.335,3051.015
36.7,604.16,759.3675,673.135
46.7875,95.635,187.9275,1022.1125
115.715,166.7,855.76,1673.175
141.8325,252.6425,782.0425,421.52
83.58,135.82,511.965,4212.5925
29.825,185.415,787.3775,2140.885
25.9325,183.7225,162.2275,3241.72
63.0275,192.88,183.62,521.6375
84.3975,348.47,560.5875,596.04
41.8575,438.7,404.6225,412.3775
77.5,1728.445,1924.0775,6582.1125
43.0625,253.855,263.01,1390.775
52.9975,738.87,198.87,6187.78
28.9475,100.28,288.36,421.8975
61.255,143.125,301.8825,4154.3225
22.695,136.4025,177.8425,10389.1675
